CMS Certification Number (CCN),Facility Name,Address Line 1,Address Line 2,City/Town,State,ZIP Code,County/Parish,Telephone Number,CMS Region,Measure Code,Measure Name,Score,Footnote,Measure Date Range
61561,BRISTOL HOSPICE - NOCO,"3770 PURITAN WY, UNIT E",,FREDERICK,CO,80516,Weld,(970) 618-8378,8,Average_Daily_Census,Average Daily Census,177,,01/01/2023-12/31/2023
61562,FREMONT REGIONAL HOSPICE,1439 MAIN ST,,CANON CITY,CO,81212,Fremont,(719) 275-4315,8,Average_Daily_Census,Average Daily Census,18,,01/01/2023-12/31/2023
61567,HOSPICE OF THE VALLEY,823 GRAND AVE,,GLENWOOD SPRINGS,CO,81601,Garfield,(970) 930-6008,8,Average_Daily_Census,Average Daily Census,32,,01/01/2023-12/31/2023
61568,OPTIMAL HOSPICE CARE,4380 S SYRACUSE ST STE 455,,DENVER,CO,80237,Denver,(303) 488-9998,8,Average_Daily_Census,Average Daily Census,112,,01/01/2023-12/31/2023
61569,COMPASSIONATE HOSPICE CARE LLC,11935 QUAY ST,,BROOMFIELD,CO,80020,Boulder,(303) 465-0944,8,Average_Daily_Census,Average Daily Census,43,,01/01/2023-12/31/2023
61570,NEW CENTURY HOSPICE OF DENVER,380 PERRY ST STE 210,,CASTLE ROCK,CO,80104,Douglas,(303) 660-6107,8,Average_Daily_Census,Average Daily Census,29,,01/01/2023-12/31/2023
61573,HCA HEALTHONE HOSPICE & FAMILY CARE,5600 S QUEBEC ST STE 375C,,GREENWOOD VILLAGE,CO,80111,Arapahoe,(303) 771-3304,8,Average_Daily_Census,Average Daily Census,67,,01/01/2023-12/31/2023
61576,BRISTOL HOSPICE - DENVER,5950 S WILLOW DR,,GREENWOOD VILLAGE,CO,80111,Arapahoe,(720) 941-5580,8,Average_Daily_Census,Average Daily Census,185,,01/01/2023-12/31/2023
61578,DIGNITY HOSPICE OF COLORADO LLC,400 E 84TH AVE ,,THORNTON,CO,80229,Adams,(720) 222-3315,8,Average_Daily_Census,Average Daily Census,124,,01/01/2023-12/31/2023
61582,AVIANT HOSPICE,3460 BRIARGATE BLVD,,COLORADO SPRINGS,CO,80920,Arapahoe,(303) 953-7270,8,Average_Daily_Census,Average Daily Census,1,,01/01/2023-12/31/2023
61583,NEW CENTURY HOSPICE OF COLORADO SPRINGS,6270 LEHMAN DR ,,COLORADO SPRINGS,CO,80918,El Paso,(719) 330-6652,8,Average_Daily_Census,Average Daily Census,124,,01/01/2023-12/31/2023
61584,ENHABIT HOSPICE,6021 S SYRACUSE WAY,,GREENWOOD VILLAGE,CO,80111,Arapahoe,(303) 940-9999,8,Average_Daily_Census,Average Daily Census,13,,01/01/2023-12/31/2023
61588,ABODE HOSPICE OF COLORADO,"445 UNION BLVD, STE 223",,LAKEWOOD,CO,80228,Jefferson,(720) 353-4078,8,Average_Daily_Census,Average Daily Census,55,,01/01/2023-12/31/2023
61590,ABODE HOSPICE OF COLORADO,1975 RESEARCH PKWY,,COLORADO SPRINGS,CO,80918,El Paso,(719) 358-6428,8,Average_Daily_Census,Average Daily Census,132,,01/01/2023-12/31/2023
61591,SACRED PASSAGE HOSPICE,3033 S PARKER RD,,AURORA,CO,80014,Arapahoe,(303) 357-2540,8,Average_Daily_Census,Average Daily Census,4,,01/01/2023-12/31/2023
61592,ELEVATION HOSPICE OF COLORADO LLC,7850 VANCE DR ,,ARVADA,CO,80003,Jefferson,(720) 608-2181,8,Average_Daily_Census,Average Daily Census,169,,01/01/2023-12/31/2023
61593,ACCENTCARE HOSPICE & PALLIATIVE CARE OF COLORADO,9191 SHERIDAN BLVD STE 103,,WESTMINSTER,CO,80031,Jefferson,(720) 504-1309,8,Average_Daily_Census,Average Daily Census,34,,01/01/2023-12/31/2023
61594,"BERKLEY PALLIATIVE CARE AND HOSPICE, LLC",10697 E DARTMOUTH AVE,,AURORA,CO,80014,Adams,(303) 758-2000,8,Average_Daily_Census,Average Daily Census,104,,01/01/2023-12/31/2023
61595,COLORADO PALLIATIVE & HOSPICE CARE OF COLOLORADO S,4775 CENTENNIAL BLVD STE 160,,COLORADO SPRINGS,CO,80919,El Paso,(719) 419-5595,8,Average_Daily_Census,Average Daily Census,50,,01/01/2023-12/31/2023
61596,MISSION HOSPICE AND PALLIATIVE CARE,"12835 E ARAPAHOE RD, TOWER I, STE 400",,CENTENNIAL,CO,80112,Arapahoe,(303) 708-1122,8,Average_Daily_Census,Average Daily Census,3,,01/01/2023-12/31/2023
61597,SUN TREE HOSPICE OF COLORADO LLC,3090 S JAMAICA CT ,,AURORA,CO,80014,Arapahoe,(720) 336-8770,8,Average_Daily_Census,Average Daily Census,28,,01/01/2023-12/31/2023
61599,ENVISION HEALTHCARE AT HOME,1720 S BELLAIRE ST,,DENVER,CO,80222,Jefferson,(303) 500-5055,8,Average_Daily_Census,Average Daily Census,76,,01/01/2023-12/31/2023
61600,"COLORADO PALLIATIVE & HOSPICE CARE, LLC",6551 S REVERE PKWY,,CENTENNIAL,CO,80111,Adams,(303) 727-5709,8,Average_Daily_Census,Average Daily Census,44,,01/01/2023-12/31/2023
61601,AT HOME HOSPICE,2675 S ABILENE ST,,AURORA,CO,80014,Adams,(720) 459-7912,8,Average_Daily_Census,Average Daily Census,8,,01/01/2023-12/31/2023
61602,TRAIL WINDS HOSPICE,75 MANHATTAN DR,,BOULDER,CO,80303,Boulder,(303) 442-5683,8,Average_Daily_Census,Average Daily Census,48,,01/01/2023-12/31/2023
61604,MT ROSE HEALTH CENTER PALLIATIVE CARE AND HOSPICE ,1114 E MAIN ST,,TRINIDAD,CO,81082,Las Animas,(719) 846-8478,8,Average_Daily_Census,Average Daily Census,18,,01/01/2023-12/31/2023
61605,ABODE HOSPICE OF COLORADO,744 HORIZON CT STE 110,,GRAND JUNCTION,CO,81506,Mesa,(970) 658-8705,8,Average_Daily_Census,Average Daily Census,79,,01/01/2023-12/31/2023
61606,ADVANCED HOSPICE OF COLORADO,1800 S POTOMAC ST,,AURORA,CO,80012,Arapahoe,(720) 213-1773,8,Average_Daily_Census,Average Daily Census,20,,01/01/2023-12/31/2023
61608,CANYON HOME CARE & HOSPICE,2000 S COLORADO BLVD,,DENVER,CO,80222,Arapahoe,(303) 940-2495,8,Average_Daily_Census,Average Daily Census,35,,01/01/2023-12/31/2023
61609,TOUCH OF CARE HOSPICE,1100 E MAIN ST ,,MONTROSE,CO,81401,Montrose,(970) 787-9988,8,Average_Daily_Census,Average Daily Census,9,,01/01/2023-12/31/2023
61611,GRACIA HOSPICE GROUP INC,7985 N VANCE DR STE 308,,ARVADA,CO,80003,Jefferson,(720) 531-3172,8,Average_Daily_Census,Average Daily Census,14,,01/01/2023-12/31/2023
61612,CHOICE HOSPICE,6041 S SYRACUSE WY STE 100,,GREENWOOD VILLAGE,CO,80111,Arapahoe,(720) 750-8397,8,Average_Daily_Census,Average Daily Census,222,,01/01/2023-12/31/2023
61613,"BRIGHTON HOSPICE COLORADO, LLC",8055 E TUFTS AVE ,,DENVER,CO,80237,Denver,(720) 536-5060,8,Average_Daily_Census,Average Daily Census,183,,01/01/2023-12/31/2023
61614,CRAFT HOSPICE LLC,1650 38TH ST STE 101E,,BOULDER,CO,80301,Boulder,(720) 274-5974,8,Average_Daily_Census,Average Daily Census,3,,01/01/2023-12/31/2023
61615,SILVER LININGS HOSPICE,6450 S QUEBEC STE 650 BLDG 5,,CENTENNIAL,CO,80111,Arapahoe,(720) 502-4170,8,Average_Daily_Census,Average Daily Census,16,,01/01/2023-12/31/2023
61616,ABODE HOSPICE OF COLORADO,1050 EAGLERIDGE BLVD,,PUEBLO,CO,81008,Pueblo,(719) 600-2231,8,Average_Daily_Census,Average Daily Census,47,,01/01/2023-12/31/2023
61617,GATEWAY HOSPICE,2696 S COLORADO BLVD STE 570,,DENVER,CO,80222,Arapahoe,(303) 747-6377,8,Average_Daily_Census,Average Daily Census,44,,01/01/2023-12/31/2023
61618,BLOOM HOSPICE,12600 W COLFAX AVE,,LAKEWOOD,CO,80215,Jefferson,(303) 459-4000,8,Average_Daily_Census,Average Daily Census,179,,01/01/2023-12/31/2023
61619,ALLIANT PALLIATIVE CARE AND HOSPICE,12225 PECOS ST,,WESTMINSTER,CO,80234,Adams,(303) 424-8000,8,Average_Daily_Census,Average Daily Census,19,,01/01/2023-12/31/2023
61620,COLORADO PALLIATIVE & HOSPICE CARE OF THE FRONT RA,400 S MCCASLIN BLVD,,SUPERIOR,CO,80027,Arapahoe,(720) 545-0800,8,Average_Daily_Census,Average Daily Census,8,,01/01/2023-12/31/2023
61621,"MOUNTAIN RIDGE HOSPICE, LLC",3204 N ACADEMY BLVD,,COLORADO SPRINGS,CO,80917,,(719) 418-3475,8,Average_Daily_Census,Average Daily Census,11,,01/01/2023-12/31/2023
61622,A PEACEFUL JOURNEY HOSPICE,"2851 S PARKER RD, STE 1130",,AURORA,CO,80014,,(303) 755-0915,8,Average_Daily_Census,Average Daily Census,4,,01/01/2023-12/31/2023
61623,AMG HOSPICE OF COLORADO,3401 QUEBEC ST,,DENVER,CO,80207,,(303) 879-1700,8,Average_Daily_Census,Average Daily Census,Not Available,12,01/01/2023-12/31/2023
61624,AHC HOME HEALTH AND HOSPICE OF COLORADO SPRINGS,55 S PARKSIDE DR,,COLORAD SPRINGS,CO,80910,,(719) 418-4548,8,Average_Daily_Census,Average Daily Census,16,,01/01/2023-12/31/2023
61625,OVATION HOSPICE OF DENVER,4600 S SYRACUSE ST,,DENVER,CO,80237,,(801) 694-1198,8,Average_Daily_Census,Average Daily Census,Not Available,12,01/01/2023-12/31/2023
61626,CANYON HOME CARE & HOSPICE OF LOVELAND,4850 HAHNS PEAK DR,,LOVELAND,CO,80538,,(970) 330-5655,8,Average_Daily_Census,Average Daily Census,9,,01/01/2023-12/31/2023
61627,SUN CARE HOSPICE INC,8400 E CRESCENT PKWY,,GREENWOOD VILLAGE,CO,80111,,(720) 588-1488,8,Average_Daily_Census,Average Daily Census,Not Available,12,01/01/2023-12/31/2023
61628,PASCO/SW HOSPICE,2208 E MAIN ST,,CORTEZ,CO,81321,,(970) 565-6833,8,Average_Daily_Census,Average Daily Census,4,,01/01/2023-12/31/2023
61629,EMMAUS CATHOLIC HOSPICE,5290 E YALE CIR STE 100,,DENVER,CO,80222,,(303) 322-1413,8,Average_Daily_Census,Average Daily Census,1,,01/01/2023-12/31/2023
61630,ENHABIT HOSPICE,910 PINON RANCH VW,,COLORADO SPRINGS,CO,80907,,(719) 300-4610,8,Average_Daily_Census,Average Daily Census,1,,01/01/2023-12/31/2023
61631,MED CARE HOSPICE INC,8400 E CRESCENT PKWY,,GREENWOOD VILLAGE,CO,80111,,(720) 496-0926,8,Average_Daily_Census,Average Daily Census,Not Available,12,01/01/2023-12/31/2023
61632,ALL SEASONS HOSPICE,8385 S YARROW ST,,LITTLETON,CO,80128,,(720) 808-7307,8,Average_Daily_Census,Average Daily Census,0,,01/01/2023-12/31/2023
61633,NOBEL HOSPICE CARE INC,102 S TEJON ST,,COLORADO SPRINGS,CO,80903,,(719) 653-2792,8,Average_Daily_Census,Average Daily Census,Not Available,12,01/01/2023-12/31/2023
61634,FULL HEARTS HOSPICE LLC,13780 E RICE PL,,AURORA,CO,80015,,(720) 381-0181,8,Average_Daily_Census,Average Daily Census,Not Available,12,01/01/2023-12/31/2023
